episode,step,t_pred,executor_instances,executor_memory_mb,driver_memory_mb,memory_fraction,shuffle_compress_b,spill_compress_b,broadcast_block_mb,max_in_flight_mb,shuffle_file_buffer_mb,io_codec,rel_improve_from_best,profile
25,0,96.31059600182257,3,3072.0,2048.0,0.7,0,1,8.0,48.0,0.03125,snappy,-0.05324994180215652,large
25,1,95.81720542184668,2,3072.0,2048.0,0.7,0,1,8.0,48.0,0.03125,snappy,-0.04785423643620167,large
26,0,91.69721247163629,3,3072.0,2048.0,0.7,0,1,8.0,64.0,0.0625,snappy,-0.002798110576983974,large
26,1,91.44134946452591,3,3072.0,2048.0,0.7,0,1,8.0,64.0,0.03125,snappy,0.0,large
27,0,94.40502979801863,3,3072.0,2048.0,0.7,0,1,8.0,64.0,0.03125,lz4,-0.03241072393231094,large
27,1,97.51491798818537,2,3072.0,2048.0,0.7,0,1,8.0,64.0,0.03125,lz4,-0.06642037283161117,large
28,0,95.68292143829157,3,3072.0,2048.0,0.7,0,1,8.0,96.0,0.03125,snappy,-0.04638571060689726,large
28,1,96.57973819367568,3,3072.0,2048.0,0.7,0,1,8.0,96.0,0.0625,snappy,-0.05619327316624053,large
29,0,94.7191208229594,3,3072.0,2048.0,0.6,0,1,8.0,64.0,0.03125,snappy,-0.035845614458096704,large
29,1,98.1776146522078,3,3072.0,2048.0,0.6,0,1,8.0,96.0,0.03125,snappy,-0.0736676047229068,large
30,0,91.69721247163629,3,3072.0,2048.0,0.7,0,1,8.0,64.0,0.0625,snappy,-0.002798110576983974,large
30,1,91.44134946452591,3,3072.0,2048.0,0.7,0,1,8.0,64.0,0.03125,snappy,0.0,large
31,0,91.69721247163629,3,3072.0,2048.0,0.7,0,1,8.0,64.0,0.0625,snappy,-0.002798110576983974,large
31,1,91.44134946452591,3,3072.0,2048.0,0.7,0,1,8.0,64.0,0.03125,snappy,0.0,large
32,0,94.7191208229594,3,3072.0,2048.0,0.6,0,1,8.0,64.0,0.03125,snappy,-0.035845614458096704,large
32,1,94.06029379914503,2,3072.0,2048.0,0.6,0,1,8.0,64.0,0.03125,snappy,-0.028640700842184293,large
33,0,91.9118680120084,2,3072.0,2048.0,0.7,0,1,8.0,64.0,0.03125,snappy,-0.0051455774683751695,large
33,1,91.44134946452591,3,3072.0,2048.0,0.7,0,1,8.0,64.0,0.03125,snappy,0.0,large
34,0,94.71912082295948,3,3072.0,2048.0,0.6,0,1,8.0,64.0,0.03125,snappy,-0.035845614458097634,large
34,1,94.06029379914503,2,3072.0,2048.0,0.6,0,1,8.0,64.0,0.03125,snappy,-0.028640700842184293,large
35,0,91.69721247163629,3,3072.0,2048.0,0.7,0,1,8.0,64.0,0.0625,snappy,-0.002798110576983974,large
35,1,96.22846189071413,3,3072.0,2048.0,0.7,0,1,8.0,48.0,0.0625,snappy,-0.05235172549641063,large
36,0,91.87627291033473,3,3072.0,2048.0,0.7,0,0,8.0,64.0,0.03125,snappy,-0.0047563104476880695,large
36,1,94.85173958104232,3,2048.0,2048.0,0.7,0,0,8.0,64.0,0.03125,snappy,-0.037295929428944496,large
37,0,91.69721247163629,3,3072.0,2048.0,0.7,0,1,8.0,64.0,0.0625,snappy,-0.002798110576983974,large
37,1,91.44134946452591,3,3072.0,2048.0,0.7,0,1,8.0,64.0,0.03125,snappy,0.0,large
38,0,92.96248936757478,3,2048.0,2048.0,0.7,0,1,8.0,64.0,0.03125,snappy,-0.016635142765899127,large
38,1,92.18561608581105,2,2048.0,2048.0,0.7,0,1,8.0,64.0,0.03125,snappy,-0.008139278626611568,large
39,0,91.69721247163629,3,3072.0,2048.0,0.7,0,1,8.0,64.0,0.0625,snappy,-0.002798110576983974,large
39,1,92.71923248760352,3,3072.0,2048.0,0.7,0,1,8.0,64.0,0.0625,lz4,-0.013974892437182952,large
40,0,91.87627291033473,3,3072.0,2048.0,0.7,0,0,8.0,64.0,0.03125,snappy,-0.0047563104476880695,large
40,1,96.82027539378903,3,3072.0,2048.0,0.6,0,0,8.0,64.0,0.03125,snappy,-0.05882378115329366,large
41,0,91.69721247163629,3,3072.0,2048.0,0.7,0,1,8.0,64.0,0.0625,snappy,-0.002798110576983974,large
41,1,91.44134946452591,3,3072.0,2048.0,0.7,0,1,8.0,64.0,0.03125,snappy,0.0,large
42,0,91.69721247163629,3,3072.0,2048.0,0.7,0,1,8.0,64.0,0.0625,snappy,-0.002798110576983974,large
42,1,91.44134946452583,3,3072.0,2048.0,0.7,0,1,8.0,64.0,0.03125,snappy,9.324570207080122e-16,large
43,0,91.69721247163629,3,3072.0,2048.0,0.7,0,1,8.0,64.0,0.0625,snappy,-0.002798110576983974,large
43,1,91.44134946452591,3,3072.0,2048.0,0.7,0,1,8.0,64.0,0.03125,snappy,0.0,large
44,0,91.87627291033473,3,3072.0,2048.0,0.7,0,0,8.0,64.0,0.03125,snappy,-0.0047563104476880695,large
44,1,94.33036879595733,3,3072.0,2048.0,0.7,1,0,8.0,64.0,0.03125,snappy,-0.0315942333348021,large
45,0,91.69721247163629,3,3072.0,2048.0,0.7,0,1,8.0,64.0,0.0625,snappy,-0.002798110576983974,large
45,1,96.94607398476457,3,3072.0,2048.0,0.7,0,1,4.0,64.0,0.0625,snappy,-0.060199510970408154,large
46,0,91.69721247163629,3,3072.0,2048.0,0.7,0,1,8.0,64.0,0.0625,snappy,-0.002798110576983974,large
46,1,91.44134946452591,3,3072.0,2048.0,0.7,0,1,8.0,64.0,0.03125,snappy,0.0,large
47,0,91.69721247163629,3,3072.0,2048.0,0.7,0,1,8.0,64.0,0.0625,snappy,-0.002798110576983974,large
47,1,91.44134946452591,3,3072.0,2048.0,0.7,0,1,8.0,64.0,0.03125,snappy,0.0,large
48,0,97.5856547127128,3,3072.0,2048.0,0.7,0,1,4.0,64.0,0.03125,snappy,-0.0671939476414937,large
48,1,96.24413699139018,3,3072.0,2048.0,0.7,0,0,4.0,64.0,0.03125,snappy,-0.05252314795209224,large
49,0,97.5856547127128,3,3072.0,2048.0,0.7,0,1,4.0,64.0,0.03125,snappy,-0.0671939476414937,large
49,1,96.24413699139018,3,3072.0,2048.0,0.7,0,0,4.0,64.0,0.03125,snappy,-0.05252314795209224,large
