timestep,predicted_time,executor_cores,executor_instances,driver_cores,memory_fraction,memory_storageFraction,rpc_message_maxSize,executor_memory_mb,driver_memory_mb,shuffle_file_buffer_kb,broadcast_block_mb,maxSizeInFlight_mb,shuffle_compress,spill_compress,broadcast_compress,rdd_compress,io_codec
7989,17.614834696489208,3,3,1,0.3,0.3,224,2048.0,2048.0,32.0,12.0,48.0,0,0,0,0,snappy
7990,17.598276874303902,3,3,1,0.3,0.3,224,3072.0,2048.0,32.0,12.0,48.0,0,0,0,0,snappy
7991,17.5982768743039,3,3,1,0.3,0.3,224,3072.0,2048.0,48.0,12.0,48.0,0,0,0,0,snappy
7992,17.5982768743039,3,3,1,0.3,0.3,224,3072.0,2048.0,32.0,12.0,48.0,0,0,0,0,snappy
7993,17.628805153624892,3,2,1,0.3,0.3,224,3072.0,2048.0,32.0,12.0,48.0,0,0,0,0,snappy
7994,17.62880515362489,3,2,1,0.3,0.3,224,3072.0,2048.0,32.0,12.0,48.0,0,0,0,0,snappy
7995,17.62880515362489,3,2,1,0.3,0.3,224,3072.0,2048.0,32.0,12.0,48.0,0,0,0,0,snappy
7996,17.62880515362489,3,2,1,0.3,0.3,224,3072.0,2048.0,32.0,12.0,48.0,0,0,0,0,snappy
7997,17.657772915235707,3,2,1,0.3,0.3,224,3072.0,2048.0,32.0,12.0,48.0,0,0,0,1,snappy
7998,17.657772915235707,3,2,1,0.3,0.3,224,3072.0,2048.0,48.0,12.0,48.0,0,0,0,1,snappy
7999,17.654358563383852,3,2,1,0.3,0.3,256,3072.0,2048.0,48.0,12.0,48.0,0,0,0,1,snappy
8000,17.647121947222235,3,2,1,0.3,0.3,256,3072.0,3072.0,48.0,12.0,48.0,0,0,0,1,snappy
8001,18.577178914459882,2,3,3,0.7,0.6,192,3072.0,3072.0,80.0,14.0,72.0,1,1,1,1,snappy
8002,18.581894492862965,2,3,3,0.7,0.6,160,3072.0,3072.0,80.0,14.0,72.0,1,1,1,1,snappy
8003,18.580741715085182,2,3,4,0.7,0.6,160,3072.0,3072.0,80.0,14.0,72.0,1,1,1,1,snappy
8004,18.618359456204658,2,3,4,0.7,0.6,160,4096.0,3072.0,80.0,14.0,72.0,1,1,1,1,snappy
8005,18.580741715085182,2,3,4,0.7,0.6,160,3072.0,3072.0,80.0,14.0,72.0,1,1,1,1,snappy
8006,18.580741715085182,2,3,4,0.7,0.7,160,3072.0,3072.0,80.0,14.0,72.0,1,1,1,1,snappy
8007,18.580741715085182,2,3,4,0.8,0.7,160,3072.0,3072.0,80.0,14.0,72.0,1,1,1,1,snappy
8008,18.580741715085182,2,3,4,0.8,0.7,160,3072.0,3072.0,96.0,14.0,72.0,1,1,1,1,snappy
8009,18.58587855074181,2,3,4,0.8,0.7,160,3072.0,3072.0,96.0,14.0,72.0,1,1,1,1,lz4
8010,18.585878550741814,2,3,4,0.8,0.7,160,3072.0,3072.0,96.0,14.0,72.0,1,1,1,1,lz4
8011,18.598570746509008,2,3,4,0.8,0.7,160,3072.0,3072.0,96.0,12.0,72.0,1,1,1,1,lz4
8012,18.62575598680883,2,3,4,0.8,0.7,160,3072.0,3072.0,96.0,12.0,64.0,1,1,1,1,lz4
8013,18.616455409942287,2,3,4,0.8,0.7,160,3072.0,3072.0,96.0,12.0,64.0,1,1,1,0,lz4
8014,17.844395116450414,3,3,4,0.8,0.7,160,3072.0,3072.0,96.0,12.0,64.0,1,1,1,0,lz4
8015,17.84439511645041,3,3,4,0.8,0.7,160,3072.0,3072.0,96.0,12.0,64.0,1,1,1,0,lz4
8016,17.72590973524854,3,3,4,0.7,0.7,160,3072.0,3072.0,96.0,12.0,64.0,1,1,1,0,lz4
8017,17.852439725830703,3,3,4,0.7,0.7,128,3072.0,3072.0,96.0,12.0,64.0,1,1,1,0,lz4
8018,17.852439725830703,3,3,4,0.7,0.7,128,3072.0,3072.0,96.0,12.0,64.0,1,1,1,0,lz4
8019,17.65659563392648,3,3,4,0.7,0.7,128,3072.0,3072.0,96.0,12.0,64.0,0,1,1,0,lz4
8020,17.516341195097564,3,3,3,0.7,0.7,128,3072.0,3072.0,96.0,12.0,64.0,0,1,1,0,lz4
8021,17.51655217760785,3,3,3,0.7,0.7,128,3072.0,3072.0,96.0,14.0,64.0,0,1,1,0,lz4
8022,17.512735524790507,3,3,3,0.7,0.7,128,3072.0,3072.0,96.0,16.0,64.0,0,1,1,0,lz4
8023,17.512735524790507,3,3,3,0.7,0.7,128,3072.0,3072.0,80.0,16.0,64.0,0,1,1,0,lz4
8024,17.483086168925183,3,3,3,0.7,0.7,128,3072.0,3072.0,80.0,16.0,72.0,0,1,1,0,lz4
8025,17.48578425178368,3,3,3,0.7,0.7,128,3072.0,3072.0,80.0,14.0,72.0,0,1,1,0,lz4
8026,17.485784251783677,3,3,3,0.7,0.7,128,3072.0,3072.0,80.0,14.0,72.0,0,1,1,0,lz4
8027,17.47867907821496,3,3,3,0.7,0.7,128,3072.0,3072.0,80.0,14.0,72.0,0,0,1,0,lz4
8028,17.480780954797744,3,3,3,0.7,0.7,128,3072.0,3072.0,80.0,14.0,72.0,0,0,1,0,snappy
8029,17.67307034656671,3,3,3,0.7,0.7,128,3072.0,3072.0,80.0,14.0,72.0,1,0,1,0,snappy
8030,17.691958574079933,3,3,3,0.7,0.7,128,3072.0,3072.0,64.0,14.0,72.0,1,0,1,0,snappy
8031,17.687668615504563,3,3,3,0.7,0.7,128,3072.0,3072.0,64.0,14.0,72.0,1,0,0,0,snappy
8032,17.687668615504563,3,3,3,0.7,0.7,128,3072.0,3072.0,64.0,14.0,72.0,1,0,0,0,snappy
8033,17.68766861550456,3,3,3,0.7,0.7,128,3072.0,3072.0,64.0,14.0,72.0,1,0,0,0,snappy
8034,17.678114024455176,3,3,3,0.6,0.7,128,3072.0,3072.0,64.0,14.0,72.0,1,0,0,0,snappy
8035,17.67811402445518,3,3,3,0.6,0.7,128,3072.0,3072.0,64.0,14.0,72.0,1,0,0,0,snappy
8036,17.659225796941953,3,3,3,0.6,0.7,128,3072.0,3072.0,80.0,14.0,72.0,1,0,0,0,snappy
8037,17.663393235213558,3,3,3,0.5,0.7,128,3072.0,3072.0,80.0,14.0,72.0,1,0,0,0,snappy
8038,17.66129135863078,3,3,3,0.5,0.7,128,3072.0,3072.0,80.0,14.0,72.0,1,0,0,0,lz4
8039,17.671192883803137,3,3,3,0.5,0.7,128,3072.0,3072.0,80.0,14.0,80.0,1,0,0,0,lz4
8040,17.64686748991749,3,3,3,0.5,0.7,128,2048.0,3072.0,80.0,14.0,80.0,1,0,0,0,lz4
8041,17.588604443184128,3,3,3,0.5,0.7,128,2048.0,3072.0,80.0,16.0,80.0,1,0,0,0,lz4
8042,17.588604443184128,3,3,3,0.5,0.7,128,2048.0,3072.0,80.0,16.0,80.0,1,0,0,0,lz4
8043,17.588604443184128,3,3,3,0.5,0.7,128,1024.0,3072.0,80.0,16.0,80.0,1,0,0,0,lz4
8044,17.58860444318413,3,3,3,0.5,0.7,128,1024.0,3072.0,80.0,16.0,88.0,1,0,0,0,lz4
8045,17.5928944017595,3,3,3,0.5,0.7,128,1024.0,3072.0,80.0,16.0,88.0,1,0,1,0,lz4
8046,17.59401207151259,3,3,3,0.5,0.7,128,1024.0,3072.0,80.0,16.0,88.0,1,1,1,0,lz4
8047,17.59401207151259,3,3,3,0.5,0.7,128,1024.0,3072.0,80.0,16.0,88.0,1,1,1,0,lz4
8048,17.59401207151259,3,3,3,0.5,0.7,128,2048.0,3072.0,80.0,16.0,88.0,1,1,1,0,lz4
8049,17.423247804195544,3,3,3,0.5,0.7,128,2048.0,3072.0,80.0,16.0,88.0,0,1,1,0,lz4
8050,17.429300714248456,3,3,3,0.5,0.7,128,2048.0,3072.0,80.0,18.0,88.0,0,1,1,0,lz4
8051,18.586196504296744,2,3,3,0.6,0.6,192,3072.0,3072.0,80.0,14.0,80.0,1,1,1,1,snappy
8052,18.586196504296744,2,3,3,0.6,0.6,192,3072.0,3072.0,80.0,14.0,80.0,1,1,1,1,snappy
8053,18.58619650429674,2,3,3,0.6,0.7,192,3072.0,3072.0,80.0,14.0,80.0,1,1,1,1,snappy
8054,18.58619650429674,2,3,3,0.6,0.7,192,3072.0,3072.0,80.0,14.0,80.0,1,1,1,1,snappy
8055,18.59888870006394,2,3,3,0.6,0.7,192,3072.0,3072.0,80.0,12.0,80.0,1,1,1,1,snappy
8056,18.619384221854528,2,3,3,0.6,0.7,192,3072.0,3072.0,80.0,12.0,88.0,1,1,1,1,snappy
8057,18.592016517195503,2,3,3,0.6,0.7,192,3072.0,3072.0,80.0,12.0,88.0,0,1,1,1,snappy
8058,18.597153352852132,2,3,3,0.6,0.7,192,3072.0,3072.0,80.0,12.0,88.0,0,1,1,1,lz4
8059,18.597153352852132,2,3,3,0.6,0.7,192,3072.0,3072.0,80.0,12.0,88.0,0,1,1,1,lz4
8060,18.592016517195507,2,3,3,0.6,0.7,192,3072.0,3072.0,80.0,12.0,88.0,0,1,1,1,snappy
8061,18.54956953931484,2,3,3,0.6,0.7,192,3072.0,3072.0,80.0,12.0,88.0,0,1,0,1,snappy
8062,18.599611276782618,2,3,3,0.6,0.7,192,3072.0,3072.0,64.0,12.0,88.0,0,1,0,1,snappy
8063,17.295819563770298,3,3,3,0.6,0.7,192,3072.0,3072.0,64.0,12.0,88.0,0,1,0,1,snappy
8064,17.354383014986006,3,3,3,0.6,0.7,160,3072.0,3072.0,64.0,12.0,88.0,0,1,0,1,snappy
8065,17.352281138403225,3,3,3,0.6,0.7,160,3072.0,3072.0,64.0,12.0,88.0,0,1,0,1,lz4
8066,17.328550413829447,3,3,3,0.6,0.7,160,3072.0,3072.0,64.0,12.0,88.0,0,1,0,0,lz4
8067,17.372901759551628,3,2,3,0.6,0.7,160,3072.0,3072.0,64.0,12.0,88.0,0,1,0,0,lz4
8068,17.372901759551628,3,2,3,0.6,0.7,160,3072.0,3072.0,64.0,12.0,88.0,0,1,0,0,lz4
8069,17.314338308335916,3,2,3,0.6,0.7,192,3072.0,3072.0,64.0,12.0,88.0,0,1,0,0,lz4
8070,17.322247608475077,3,2,3,0.6,0.7,192,3072.0,3072.0,64.0,12.0,88.0,0,1,1,0,lz4
8071,17.31696051999771,3,2,3,0.6,0.7,192,3072.0,3072.0,64.0,14.0,88.0,0,1,1,0,lz4
8072,17.318075548487744,3,2,3,0.6,0.7,192,3072.0,3072.0,64.0,14.0,80.0,0,1,1,0,lz4
8073,17.331999005277865,3,2,3,0.5,0.7,192,3072.0,3072.0,64.0,14.0,80.0,0,1,1,0,lz4
8074,17.337286093755228,3,2,3,0.5,0.7,192,3072.0,3072.0,64.0,12.0,80.0,0,1,1,0,lz4
8075,17.337286093755228,3,2,3,0.5,0.7,192,3072.0,3072.0,64.0,12.0,80.0,0,1,1,0,lz4
8076,17.39350892409794,3,2,3,0.5,0.7,192,4096.0,3072.0,64.0,12.0,80.0,0,1,1,0,lz4
8077,17.284283154135185,3,2,3,0.5,0.7,192,4096.0,4096.0,64.0,12.0,80.0,0,1,1,0,lz4
8078,17.252289331561148,3,3,3,0.5,0.7,192,4096.0,4096.0,64.0,12.0,80.0,0,1,1,0,lz4
8079,17.25228933156115,3,3,3,0.5,0.7,192,4096.0,4096.0,64.0,12.0,80.0,0,1,1,0,lz4
8080,17.289040322050855,3,3,4,0.5,0.7,192,4096.0,4096.0,64.0,12.0,80.0,0,1,1,0,lz4
8081,17.31567040362052,3,3,4,0.5,0.7,192,4096.0,4096.0,48.0,12.0,80.0,0,1,1,0,lz4
8082,17.301746946830395,3,3,4,0.6,0.7,192,4096.0,4096.0,48.0,12.0,80.0,0,1,1,0,lz4
8083,17.304721946830394,3,3,4,0.6,0.7,192,4096.0,4096.0,48.0,14.0,80.0,0,1,1,0,lz4
8084,17.3047219468304,3,3,4,0.6,0.7,192,4096.0,4096.0,48.0,14.0,80.0,0,1,1,0,lz4
8085,17.304721946830398,3,3,4,0.6,0.7,192,4096.0,4096.0,48.0,14.0,80.0,0,1,1,0,lz4
