model,MAE,RMSE,R2,MAPE
LinearRegression,14.200971168005097,21.31166232978791,0.7392238219925982,47.31026850026849
SVR,14.573895967929912,26.30145922034016,0.602814897050417,36.15229890550488
DecisionTree,10.582771791704673,19.254831579646247,0.7871308570707887,19.069939286881425
ExtraTrees,9.181535271739131,16.57607842929341,0.8422400176751975,16.59818004863541
RandomForest_RandomSearch,8.972216866027702,16.509447272836518,0.8435057697667769,15.778915817012788
RandomForest_SimulatedAnnealing,8.980194354129933,16.529781852447364,0.8431200264883226,16.0463357238105
MLP,12.504515955057682,19.014661332636294,0.7924080767767775,33.48552439632938
