schema_version,experiment_id,timestamp,job_type,profile,input_dataset_id,input_hdfs_path,input_size_bytes,rng_seed,topology_workers,topology_worker_cores,topology_worker_mem_gb,total_cores,total_memory_gb,executor_cores,executor_memory,executor_instances,driver_cores,driver_memory,memory_fraction,memory_storageFraction,shuffle_compress,spill_compress,shuffle_file_buffer,broadcast_block,broadcast_compress,maxSizeInFlight,io_codec,rpc_message_maxSize,rdd_compress,run_durations_s,median_duration_s,mean_duration_s,std_duration_s,min_duration_s,max_duration_s,cv_duration,successful_runs,exit_code,error_type,spark_conf_hash,spark_conf_path,bench_log_tail_path
2,pagerank_small_2x4x8_20260424175734_11,2026-04-24T17:58:11+00:00,pagerank,small,pagerank_small_20260424_175032,"/Pagerank/Input",1811191,20260424,2,4,8,8,16,1,3g,2,1,1g,0.4,0.5,false,true,64k,18m,true,72m,lz4,160,true,"9.132;9.275;9.308",9.275,9.238333333333333,0.07638644440533224,9.132,9.308,0.008268422630921765,3,0,ok,18b9bdaf770883e5510927b006ccd7db66bd1abd460dbbabdf0a3b0204448a40,"",""
2,pagerank_small_2x4x8_20260424175811_12,2026-04-24T17:58:46+00:00,pagerank,small,pagerank_small_20260424_175032,"/Pagerank/Input",1811191,20260424,2,4,8,8,16,2,5g,2,2,4g,0.4,0.3,false,true,96k,14m,true,48m,lz4,160,true,"8.441;8.380;8.195",8.38,8.338666666666667,0.10459551721858,8.195,8.441,0.01254343426829789,3,0,ok,12b99253be8a20bd89d59f676f46c3dc1fd5e940c65e05db1954b360e8271cc4,"",""
2,pagerank_small_2x4x8_20260424175846_13,2026-04-24T17:59:21+00:00,pagerank,small,pagerank_small_20260424_175032,"/Pagerank/Input",1811191,20260424,2,4,8,8,16,4,4g,1,3,2g,0.3,0.8,false,true,48k,16m,false,72m,lz4,160,true,"8.861;8.935;8.576",8.861,8.790666666666667,0.15476936245767622,8.576,8.935,0.017606100689103166,3,0,ok,7e99485cb3f20e7ab6e7f1ada8f6d1ba2e57f6972d57f67f116241fed8f687be,"",""
2,pagerank_small_2x4x8_20260424175921_14,2026-04-24T18:00:18+00:00,pagerank,small,pagerank_small_20260424_175032,"/Pagerank/Input",1811191,20260424,2,4,8,8,16,1,1g,2,2,3g,0.7,0.7,true,false,80k,14m,true,80m,snappy,192,false,"17.513;14.488;15.578",15.578,15.859666666666667,1.2509085586973272,14.488,17.513,0.07887357187187585,3,0,ok,70d3efba950605e0d3bd4967d13ee815881a9e00c8a6244947e5cc17a856d638,"",""
2,pagerank_small_2x4x8_20260424180018_15,2026-04-24T18:00:57+00:00,pagerank,small,pagerank_small_20260424_175032,"/Pagerank/Input",1811191,20260424,2,4,8,8,16,2,1g,1,4,1g,0.3,0.8,true,false,64k,10m,true,64m,snappy,256,false,"9.709;9.932;10.161",9.932,9.934,0.18453364643518716,9.709,10.161,0.01857596601924574,3,0,ok,20b15b405dbe484e33d286377ac0c5e0c2abc35265bb517de80271c32ad5bf04,"",""
2,pagerank_small_2x4x8_20260424180057_16,2026-04-24T18:01:35+00:00,pagerank,small,pagerank_small_20260424_175032,"/Pagerank/Input",1811191,20260424,2,4,8,8,16,1,7g,2,3,1g,0.7,0.4,true,true,80k,16m,false,64m,snappy,160,true,"9.579;9.633;9.638",9.633,9.616666666666667,0.02671246067953173,9.579,9.638,0.0027777255472649976,3,0,ok,a6241052320aa126c51952b904520e4952a946697130b130ad216c5c4f29401c,"",""
2,pagerank_small_2x4x8_20260424180135_17,2026-04-24T18:02:12+00:00,pagerank,small,pagerank_small_20260424_175032,"/Pagerank/Input",1811191,20260424,2,4,8,8,16,1,4g,1,1,1g,0.3,0.8,true,true,80k,12m,false,72m,lz4,128,true,"9.096;8.954;9.021",9.021,9.023666666666667,0.058001915677175664,8.954,9.096,0.006427754683296774,3,0,ok,1e5451259fe98c0cf3d9f8efbeab2247a04a7301949d7a9eeb825be6fc2c1a1b,"",""
2,pagerank_small_2x4x8_20260424180212_18,2026-04-24T18:02:47+00:00,pagerank,small,pagerank_small_20260424_175032,"/Pagerank/Input",1811191,20260424,2,4,8,8,16,3,2g,2,4,1g,0.7,0.4,false,false,32k,16m,true,96m,lz4,224,false,"8.321;9.509;8.622",8.622,8.817333333333334,0.5042832096704746,8.321,9.509,0.05719225877103522,3,0,ok,c32d1c8af4329762d09d9826781cc26bac699c84aaa52f7d26c24d1c506e500e,"",""
2,pagerank_small_2x4x8_20260424180247_19,2026-04-24T18:03:25+00:00,pagerank,small,pagerank_small_20260424_175032,"/Pagerank/Input",1811191,20260424,2,4,8,8,16,4,2g,2,4,1g,0.8,0.8,false,false,128k,16m,false,80m,snappy,192,true,"10.057;9.281;8.760",9.281,9.366,0.5328983642934804,8.76,10.057,0.05689711342018795,3,0,ok,ada1d0159ec7eb07360948caaa815b6163345f652eb85a1f96a1092d45216fca,"",""
2,pagerank_small_2x4x8_20260424180325_20,2026-04-24T18:04:01+00:00,pagerank,small,pagerank_small_20260424_175032,"/Pagerank/Input",1811191,20260424,2,4,8,8,16,1,5g,2,3,2g,0.6,0.6,false,true,96k,14m,true,72m,snappy,256,true,"9.019;8.712;9.113",9.019,8.948,0.17123278502280648,8.712,9.113,0.019136431048592587,3,0,ok,efffddc9be0e35aa3f4a2a3efa286c08b8fcc437196a9aef66256c60b87c1d4a,"",""
2,pagerank_small_2x4x8_20260424180401_21,2026-04-24T18:04:39+00:00,pagerank,small,pagerank_small_20260424_175032,"/Pagerank/Input",1811191,20260424,2,4,8,8,16,2,1g,2,1,4g,0.8,0.4,false,true,96k,8m,true,96m,lz4,192,false,"9.247;9.306;9.935",9.306,9.496,0.31135296155114206,9.247,9.935,0.032787801342790864,3,0,ok,aef060e671419278ce3fb1183d45000073c0db838f9cf9bfdf20f379876be486,"",""
2,pagerank_small_2x4x8_20260424180439_22,2026-04-24T18:05:15+00:00,pagerank,small,pagerank_small_20260424_175032,"/Pagerank/Input",1811191,20260424,2,4,8,8,16,2,2g,2,3,4g,0.4,0.5,false,true,128k,12m,false,72m,snappy,160,false,"9.324;8.568;9.407",9.324,9.099666666666666,0.37746905686279636,8.568,9.407,0.0414816356126008,3,0,ok,d1b9fcc69803500c078c66d77d863f131b0f0f40de6ab1a74749fa20091c6768,"",""
2,pagerank_small_2x4x8_20260424180515_23,2026-04-24T18:05:52+00:00,pagerank,small,pagerank_small_20260424_175032,"/Pagerank/Input",1811191,20260424,2,4,8,8,16,4,4g,1,4,4g,0.6,0.6,true,false,32k,18m,false,72m,snappy,160,true,"8.948;9.042;9.250",9.042,9.08,0.12618504929929947,8.948,9.25,0.01389703186115633,3,0,ok,7acbc66e5c6d7906221d7c692ce08ed01353b8bffde96fb59f3b6b25561f3f64,"",""
2,pagerank_small_2x4x8_20260424180552_24,2026-04-24T18:06:27+00:00,pagerank,small,pagerank_small_20260424_175032,"/Pagerank/Input",1811191,20260424,2,4,8,8,16,2,7g,1,1,3g,0.5,0.7,true,true,128k,4m,true,56m,lz4,256,true,"8.152;8.880;9.016",8.88,8.682666666666666,0.3793233742102147,8.152,9.016,0.043687427926545,3,0,ok,d2cdc794fd97b215f538f384fafb8299bdc0c6b694f2147401e969aafc5f26d6,"",""
2,pagerank_small_2x4x8_20260424180627_25,2026-04-24T18:07:05+00:00,pagerank,small,pagerank_small_20260424_175032,"/Pagerank/Input",1811191,20260424,2,4,8,8,16,2,2g,1,1,4g,0.7,0.4,false,true,32k,24m,true,72m,snappy,128,false,"9.649;9.233;9.840",9.649,9.574,0.2534179683184807,9.233,9.84,0.026469392972475525,3,0,ok,005cbaf891835a21d1ed69635c626c20cecf7dcfa9d07e3c04b10ca09d370f59,"",""
2,pagerank_small_2x4x8_20260424180705_26,2026-04-24T18:07:56+00:00,pagerank,small,pagerank_small_20260424_175032,"/Pagerank/Input",1811191,20260424,2,4,8,8,16,1,1g,2,2,3g,0.8,0.5,false,true,64k,20m,true,72m,snappy,256,false,"13.601;13.613;14.167",13.613,13.793666666666667,0.2640319845944593,13.601,14.167,0.019141537270326428,3,0,ok,7ccc5720228a1f684f8df152420281d64449f8755dad489fe43e803b200d9ea4,"",""
2,pagerank_small_2x4x8_20260424180756_27,2026-04-24T18:08:46+00:00,pagerank,small,pagerank_small_20260424_175032,"/Pagerank/Input",1811191,20260424,2,4,8,8,16,1,1g,2,4,3g,0.7,0.6,true,false,48k,10m,true,64m,lz4,256,true,"14.577;13.315;13.145",13.315,13.679,0.6387633886398523,13.145,14.577,0.04669664366107554,3,0,ok,3ec8e88b55556e0de17ebb893371f72535c3baa8050aa04dc9b3e7308ec666f8,"",""
2,pagerank_small_2x4x8_20260424180846_28,2026-04-24T18:09:22+00:00,pagerank,small,pagerank_small_20260424_175032,"/Pagerank/Input",1811191,20260424,2,4,8,8,16,3,7g,1,3,4g,0.6,0.5,true,false,80k,12m,true,56m,lz4,192,false,"8.627;8.907;8.470",8.627,8.668000000000001,0.1807447555716806,8.47,8.907,0.02085195611117681,3,0,ok,7a81c56bad64bb6ff7308328e4ce3a9e1809b5688aa70fd08a6fe5219ae36f04,"",""
