Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,30,0,210,232.48908410000695,1.0252010001750023,706.2068339996586,78.0,0.9623092131973919,0.0,260,320,360,450,560,570,710,710,710,710,710
GET,/history,22,0,150,224.39305240909974,2.106417000049987,1535.0532689999454,38682.36363636364,0.7056934230114207,0.0,170,230,300,320,400,410,1500,1500,1500,1500,1500
GET,/metrics,19,0,190,236.65229615787547,1.2770610001098248,559.8048980000385,315.0,0.6094625016916815,0.0,190,400,420,470,500,560,560,560,560,560,560
POST,/predict,49,0,290,347.30281126530826,83.1535239999539,1106.5691680000782,117.0,1.5717717148890735,0.0,290,420,480,580,730,800,1100,1100,1100,1100,1100
POST,/recommend,85,0,360,426.9521291411795,189.7821020002084,1356.4026079998257,1226.5411764705882,2.7265427707259438,0.0,360,480,530,570,710,970,1300,1400,1400,1400,1400
,Aggregated,205,0,290,340.0804001560994,1.0252010001750023,1535.0532689999454,4728.419512195122,6.575779623515511,0.0,290,400,470,510,650,770,1100,1300,1500,1500,1500
