model,MAE,RMSE,R2,MAPE
LinearRegression,2.4699617196808665,3.0695943888785404,0.7526619902111034,11.70824435893709
SVR,1.5332569393215307,1.9964724025112313,0.8953701747901069,6.976685666589481
DecisionTree,1.119023699962589,1.8492669769351977,0.9102306447383154,4.720935511587459
ExtraTrees,0.8549345061728395,1.3603776036402935,0.951421083507842,3.679976691367641
RandomForest_RandomSearch,0.8154114662832032,1.1887735190025546,0.9629039966825376,3.5814088598452796
RandomForest_SimulatedAnnealing,0.7464320922239825,1.2145812378509522,0.9612758393200714,3.188379991957974
MLP,1.897746776163758,2.407305204934455,0.8478782941007246,8.670178493322956
