timestep,predicted_time,executor_cores,executor_instances,driver_cores,memory_fraction,memory_storageFraction,rpc_message_maxSize,executor_memory_mb,driver_memory_mb,shuffle_file_buffer_kb,broadcast_block_mb,maxSizeInFlight_mb,shuffle_compress,spill_compress,broadcast_compress,rdd_compress,io_codec
3378,16.01417626579084,4,3,4,0.5,0.4,192,3072.0,4096.0,48.0,14.0,72.0,0,0,1,0,snappy
3379,16.01417626579084,4,3,4,0.5,0.4,192,3072.0,4096.0,48.0,14.0,72.0,0,0,0,0,snappy
3380,16.0095299915404,4,3,4,0.5,0.4,192,3072.0,4096.0,48.0,14.0,80.0,0,0,0,0,snappy
3381,16.09737707054807,4,3,4,0.5,0.4,192,3072.0,4096.0,48.0,14.0,80.0,1,0,0,0,snappy
3382,16.09737707054807,4,3,4,0.4,0.4,192,3072.0,4096.0,48.0,14.0,80.0,1,0,0,0,snappy
3383,16.09737707054807,4,3,4,0.4,0.4,192,3072.0,4096.0,48.0,14.0,80.0,1,0,1,0,snappy
3384,16.025777372258965,4,3,3,0.4,0.4,192,3072.0,4096.0,48.0,14.0,80.0,1,0,1,0,snappy
3385,16.025777372258965,4,3,3,0.4,0.4,192,3072.0,4096.0,48.0,14.0,80.0,1,0,1,0,snappy
3386,16.043508919661875,4,3,3,0.4,0.4,192,3072.0,3072.0,48.0,14.0,80.0,1,0,1,0,snappy
3387,16.0401004099617,4,3,3,0.4,0.4,192,3072.0,3072.0,48.0,14.0,72.0,1,0,1,0,snappy
3388,16.034597645044002,4,3,3,0.4,0.4,192,3072.0,3072.0,48.0,14.0,72.0,1,0,1,1,snappy
3389,16.034597645044002,4,3,3,0.4,0.4,192,3072.0,3072.0,48.0,14.0,72.0,1,0,1,1,snappy
3390,16.21663439732207,4,3,3,0.4,0.4,192,2048.0,3072.0,48.0,14.0,72.0,1,0,1,1,snappy
3391,16.21663439732207,4,3,3,0.4,0.4,192,2048.0,2048.0,48.0,14.0,72.0,1,0,1,1,snappy
3392,16.21663439732207,4,3,3,0.4,0.4,192,2048.0,2048.0,32.0,14.0,72.0,1,0,1,1,snappy
3393,16.21663439732207,4,4,3,0.4,0.4,192,2048.0,2048.0,32.0,14.0,72.0,1,0,1,1,snappy
3394,16.21663439732207,4,4,3,0.4,0.4,192,2048.0,3072.0,32.0,14.0,72.0,1,0,1,1,snappy
3395,16.21663439732207,4,4,3,0.4,0.4,192,2048.0,3072.0,32.0,14.0,72.0,1,0,1,1,snappy
3396,16.21663439732207,4,4,3,0.4,0.4,192,2048.0,3072.0,32.0,14.0,72.0,1,0,1,1,snappy
3397,17.6010630164815,3,4,3,0.4,0.4,192,2048.0,3072.0,32.0,14.0,72.0,1,0,1,1,snappy
3398,17.660315232860796,3,4,3,0.4,0.4,192,2048.0,3072.0,32.0,14.0,64.0,1,0,1,1,snappy
3399,17.620589378224174,3,4,2,0.4,0.4,192,2048.0,3072.0,32.0,14.0,64.0,1,0,1,1,snappy
3400,17.628367541804423,3,4,2,0.4,0.4,192,2048.0,3072.0,32.0,12.0,64.0,1,0,1,1,snappy
3401,17.52966279327252,3,3,3,0.6,0.6,192,4096.0,3072.0,80.0,14.0,72.0,1,1,1,1,snappy
3402,17.554390562956545,3,2,3,0.6,0.6,192,4096.0,3072.0,80.0,14.0,72.0,1,1,1,1,snappy
3403,17.614553742466075,3,2,4,0.6,0.6,192,4096.0,3072.0,80.0,14.0,72.0,1,1,1,1,snappy
3404,17.614553742466075,3,2,4,0.6,0.6,192,4096.0,3072.0,80.0,14.0,72.0,1,1,1,1,snappy
3405,17.6333667749647,3,2,4,0.6,0.6,192,5120.0,3072.0,80.0,14.0,72.0,1,1,1,1,snappy
3406,17.669761362745746,3,2,4,0.6,0.6,192,5120.0,3072.0,80.0,14.0,64.0,1,1,1,1,snappy
3407,17.55218895046152,3,2,4,0.6,0.6,192,5120.0,3072.0,80.0,14.0,56.0,1,1,1,1,snappy
3408,17.55218895046152,3,2,4,0.6,0.6,192,5120.0,3072.0,80.0,14.0,48.0,1,1,1,1,snappy
3409,17.530782655367727,3,2,4,0.6,0.6,224,5120.0,3072.0,80.0,14.0,48.0,1,1,1,1,snappy
3410,17.427670614525645,3,2,4,0.6,0.6,224,5120.0,4096.0,80.0,14.0,48.0,1,1,1,1,snappy
3411,17.427670614525645,3,2,4,0.6,0.6,224,5120.0,4096.0,80.0,14.0,48.0,1,1,1,1,snappy
3412,17.427670614525645,3,2,4,0.6,0.6,224,5120.0,4096.0,80.0,14.0,48.0,1,1,1,1,snappy
3413,17.42712704640395,3,2,4,0.6,0.6,224,5120.0,4096.0,80.0,14.0,48.0,1,0,1,1,snappy
